"","area","area_title","area_type","naics","naics_title","i_group","own_code","occ_code","occ_title","o_group","tot_emp","emp_prse","jobs_1000","loc_quotient","pct_total","h_mean","a_mean","mean_prse","h_pct10","h_pct25","h_median","h_pct75","h_pct90","a_pct10","a_pct25","a_median","a_pct75","a_pct90","annual","hourly"
"367","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major","29610","4.2","30.146999999999998","1",NA,"14.47","30090","1.1000000000000001","9.9600000000000009","11.09","13.34","16.82","20.37","20730","23080","27750","34990","42360",NA,NA
"368","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","37-1011","First-Line Supervisors of Housekeeping and Janitorial Workers","detailed","1040","6.8","1.0589999999999999","1",NA,"20.41","42450","1.5","13.69","16.21","19.41","23.71","29.43","28480","33720","40370","49320","61210",NA,NA
"369","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","37-1012","First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","detailed","920","11","0.94","1.33",NA,"24.42","50790","2.8","16.34","19.57","23.54","28.66","34.369999999999997","34000","40710","48960","59610","71500",NA,NA
"370","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","37-2011","Janitors and Cleaners, Except Maids and Housekeeping Cleaners","detailed","15390","7.4","15.670999999999999","1.07",NA,"13.84","28790","1.6","9.9600000000000009","11.04","13.05","16.010000000000002","18.89","20720","22960","27150","33290","39290",NA,NA
"371","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","37-2012","Maids and Housekeeping Cleaners","detailed","5500","5.5","5.6","0.89",NA,"12.19","25360","1.3","9.82","10.45","11.61","13.29","15.08","20420","21730","24150","27650","31360",NA,NA
"372","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","37-2021","Pest Control Workers","detailed","320","12.3","0.32700000000000001","0.6",NA,"19.809999999999999","41200","4.4000000000000004","11.1","15.41","18.88","24.99","30.08","23080","32060","39280","51970","62560",NA,NA
"373","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","37-3011","Landscaping and Groundskeeping Workers","detailed","6070","5.3","6.1760000000000002","0.99",NA,"15.11","31430","1.7","9.9700000000000006","11.72","14.59","17.920000000000002","20.62","20740","24370","30350","37280","42900",NA,NA
"374","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","37-3012","Pesticide Handlers, Sprayers, and Applicators, Vegetation","detailed","160","21.6","0.16700000000000001","0.95",NA,"17.2","35770","4","11.66","13.96","16.829999999999998","19.899999999999999","23.63","24260","29030","35000","41400","49140",NA,NA
"375","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","37-3013","Tree Trimmers and Pruners","detailed","**","**","**","**",NA,"18.37","38210","3.6","14.15","15.94","17.739999999999998","19.53","24.14","29440","33150","36900","40620","50220",NA,NA
"376","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","39-0000","Personal Care and Service Occupations","major","22880","4","23.303000000000001","1.04",NA,"13.61","28310","2.1","9.4700000000000006","9.9700000000000006","11.5","14.77","19.93","19700","20730","23920","30710","41460",NA,NA
"377","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","39-1013","First-Line Supervisors of Gambling Services Workers","detailed","40","33.799999999999997","0.04","0.2",NA,"18.25","37950","4.2","12.73","13.84","15.97","22.37","25.53","26480","28790","33210","46540","53100",NA,NA
"378","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","39-1098","First-Line Supervisors of Personal Service and Entertainment and Recreation Workers, Except Gambling Services","detailed","1060","9.9","1.0760000000000001","0.73",NA,"18.39","38250","2.6","11.1","13.71","17.399999999999999","22.37","27.06","23090","28510","36200","46530","56280",NA,NA
"379","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","39-2011","Animal Trainers","detailed","40","36.1","4.4999999999999998E-2","0.4",NA,"12.96","26950","5.9","9.82","10.59","12.65","14.45","15.72","20430","22030","26310","30060","32710",NA,NA
"380","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","39-2021","Animal Caretakers","detailed","1560","13.1","1.587","1.1000000000000001",NA,"12.79","26600","3","9.61","9.92","11.29","13.9","19.04","20000","20630","23470","28910","39600",NA,NA
"381","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","39-3012","Gambling and Sports Book Writers and Runners","detailed","340","13.5","0.34300000000000003","5.05",NA,"11","22880","3.1","9.24","9.5500000000000007","10.43","11.67","13.72","19220","19870","21690","24280","28530",NA,NA
"382","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","39-3031","Ushers, Lobby Attendants, and Ticket Takers","detailed","760","10.199999999999999","0.77600000000000002","0.82",NA,"11.01","22900","2.1","9.4499999999999993","9.7899999999999991","10.72","11.85","12.63","19650","20360","22300","24650","26280",NA,NA
"383","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","39-3091","Amusement and Recreation Attendants","detailed","1770","4.8","1.7989999999999999","0.78",NA,"10.63","22110","2.5","9.24","9.32","9.5399999999999991","11.06","13.53","19210","19400","19850","23000","28130",NA,NA
"384","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","39-3093","Locker Room, Coatroom, and Dressing Room Attendants","detailed","160","23.7","0.161","1.48",NA,"10.62","22100","4.4000000000000004","9.1199999999999992","9.42","9.8699999999999992","11.06","13.42","18960","19590","20520","23010","27920",NA,NA
"385","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","39-4021","Funeral Attendants","detailed","240","15.5","0.247","1.06",NA,"16.22","33740","7.5","10.199999999999999","11.76","15.38","18.22","25.63","21210","24450","31980","37890","53310",NA,NA
